((a*e)+(-1*b*d)),((a*f)+(-1*c*d)),((b*f)+(-1*c*e))
((a*h)+(-1*b*g)),((a*i)+(-1*c*g)),((b*i)+(-1*c*h))
((d*h)+(-1*e*g)),((d*i)+(-1*f*g)),((e*i)+(-1*f*h))
